"week","county_fips","is_metro","dose1_pct","fully_vacc_pct","conservative_pct","pop_density","temp","cases_pcap"
"2020-12-07","21145",0,0,0,0.662152083768384,101.334205822025,22.3,0.00637215856871515
"2020-12-14","21145",0,0,0,0.662152083768384,101.334205822025,22.3,0.00358433919490227
"2020-12-21","21145",0,0,0,0.662152083768384,101.334205822025,22.3,0.0028797255070155
"2020-12-28","21145",0,0,0,0.662152083768384,101.334205822025,22.3,0.00333925617302861
"2021-01-04","21145",0,0,0,0.662152083768384,101.334205822025,19.2,0.00428895288278904
"2021-01-11","21145",0,4.7,0.4,0.662152083768384,101.334205822025,19.2,0.00320139697322468
"2021-01-18","21145",0,5.9,1,0.662152083768384,101.334205822025,19.2,0.00309417315115495
"2021-01-25","21145",0,7.3,1.7,0.662152083768384,101.334205822025,19.2,0.00212915875252742
"2021-02-01","21145",0,8.7,2.9,0.662152083768384,101.334205822025,7.4,0.00320139697322468
"2021-02-08","21145",0,10.2,4.6,0.662152083768384,101.334205822025,7.4,0.00183812266405245
"2021-02-15","21145",0,11.1,6,0.662152083768384,101.334205822025,7.4,0.0016543103976472
"2021-02-22","21145",0,13.5,7.4,0.662152083768384,101.334205822025,7.4,0.00168494577538141
"2021-03-01","21145",0,17.2,8.5,0.662152083768384,101.334205822025,36.3,0.0016389927087801
"2021-03-08","21145",0,20.2,10.1,0.662152083768384,101.334205822025,36.3,0.0016389927087801
"2021-03-15","21145",0,24.3,12.4,0.662152083768384,101.334205822025,36.3,0.00127136817596961
"2021-03-22","21145",0,27.7,14.9,0.662152083768384,101.334205822025,36.3,0.00107223822069726
"2021-03-29","21145",0,30.5,18.4,0.662152083768384,101.334205822025,36.3,0.000965014398627535
"2021-04-05","21145",0,32.7,21.4,0.662152083768384,101.334205822025,43.6,0.00102628515409595
"2021-04-12","21145",0,34.5,25,0.662152083768384,101.334205822025,43.6,0.0012407327982354
"2021-04-19","21145",0,35.5,28.5,0.662152083768384,101.334205822025,43.6,0.00113350897616568
"2021-04-26","21145",0,36.8,30.9,0.662152083768384,101.334205822025,43.6,0.00136327430917223
"2021-05-03","21145",0,37.8,33,0.662152083768384,101.334205822025,56.2,0.00113350897616568
"2021-05-10","21145",0,38.7,34.3,0.662152083768384,101.334205822025,56.2,0.00153176888671037
"2021-05-17","21145",0,40,35.3,0.662152083768384,101.334205822025,56.2,0.00168494577538141
"2021-05-24","21145",0,40.8,36.5,0.662152083768384,101.334205822025,56.2,0.000628025243551253
"2021-05-31","21145",0,41.3,37.2,0.662152083768384,101.334205822025,56.2,0.000428895288278904
"2021-06-07","21145",0,42.3,38.2,0.662152083768384,101.334205822025,71.1,0.000520801421481527
"2021-06-14","21145",0,43.3,39.2,0.662152083768384,101.334205822025,71.1,0.000352306843943386
"2021-06-21","21145",0,43.7,39.9,0.662152083768384,101.334205822025,71.1,0.00024508302187366
"2021-06-28","21145",0,44.1,40.3,0.662152083768384,101.334205822025,71.1,0.000413577599411801
"2021-07-05","21145",0,44.4,40.7,0.662152083768384,101.334205822025,72.5,0.000398259910544697
"2021-07-12","21145",0,44.9,41,0.662152083768384,101.334205822025,72.5,0.000382942221677593
"2021-07-19","21145",0,45.7,41.3,0.662152083768384,101.334205822025,72.5,0.000842472887690705
"2021-07-26","21145",0,46.6,41.7,0.662152083768384,101.334205822025,72.5,0.00131732124257092
"2021-08-02","21145",0,48.2,42.2,0.662152083768384,101.334205822025,70.6,0.00300226701795233
"2021-08-09","21145",0,49.4,42.7,0.662152083768384,101.334205822025,70.6,0.00353838612830096
"2021-08-16","21145",0,50.7,43.4,0.662152083768384,101.334205822025,70.6,0.0049322958152074
"2021-08-23","21145",0,51.8,44.5,0.662152083768384,101.334205822025,70.6,0.00670914772379143
"2021-08-30","21145",0,52.8,45.4,0.662152083768384,101.334205822025,70.6,0.00484038968200478
"2021-09-06","21145",0,54.2,46.6,0.662152083768384,101.334205822025,62.9,0.00386005759451014
"2021-09-13","21145",0,54.8,47.3,0.662152083768384,101.334205822025,62.9,0.00459530666013112
"2021-09-20","21145",0,55.5,48.4,0.662152083768384,101.334205822025,62.9,0.00353838612830096
"2021-09-27","21145",0,56.1,49.1,0.662152083768384,101.334205822025,62.9,0.00226701795233135
"2021-10-04","21145",0,56.5,49.7,0.662152083768384,101.334205822025,52.5,0.00242019484100239
"2021-10-11","21145",0,56.8,50.2,0.662152083768384,101.334205822025,52.5,0.00232828870779977
"2021-10-18","21145",0,57.3,50.7,0.662152083768384,101.334205822025,52.5,0.00232828870779977
