"week","county_fips","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","postal","cases_pcap"
"2020-03-23","53017",0,0,1,0.62370940491834,8.78016610668887,39.4,"4507",0.000120857605569118
"2020-03-30","53017",0,0,1,0.62370940491834,8.78016610668887,39.4,"4507",0.000120857605569118
"2020-04-06","53017",0,0,1,0.62370940491834,8.78016610668887,47.7,"4507",0.00019337216891059
"2020-04-13","53017",0,0,1,0.62370940491834,8.78016610668887,47.7,"4507",0.000338401295593532
"2020-04-20","53017",0,0,1,0.62370940491834,8.78016610668887,47.7,"4507",0.000966860844552948
"2020-04-27","53017",0,0,1,0.62370940491834,8.78016610668887,47.7,"4507",0.000241715211138237
"2020-05-04","53017",0,0,1,0.62370940491834,8.78016610668887,56,"4507",0.000846003238983829
"2020-05-11","53017",0,0,1,0.62370940491834,8.78016610668887,56,"4507",0.000241715211138237
"2020-05-18","53017",0,0,1,0.62370940491834,8.78016610668887,56,"4507",0.000725145633414711
"2020-05-25","53017",0,0,1,0.62370940491834,8.78016610668887,56,"4507",0.000362572816707355
"2020-06-01","53017",0,0,1,0.62370940491834,8.78016610668887,62,"4507",0.00019337216891059
"2020-06-08","53017",0,0,1,0.62370940491834,8.78016610668887,62,"4507",0.000120857605569118
"2020-06-15","53017",0,0,1,0.62370940491834,8.78016610668887,62,"4507",0.00019337216891059
"2020-06-22","53017",0,0,1,0.62370940491834,8.78016610668887,62,"4507",0.000894346281211477
"2020-06-29","53017",0,0,1,0.62370940491834,8.78016610668887,62,"4507",0.00118440453457736
"2020-07-06","53017",0,0,1,0.62370940491834,8.78016610668887,70.4,"4507",0.00244132363249619
"2020-07-13","53017",0,0,1,0.62370940491834,8.78016610668887,70.4,"4507",0.00268303884363443
"2020-07-20","53017",0,0,1,0.62370940491834,8.78016610668887,70.4,"4507",0.00357738512484591
"2020-07-27","53017",0,0,1,0.62370940491834,8.78016610668887,70.4,"4507",0.00410915858935003
"2020-08-03","53017",0,0,1,0.62370940491834,8.78016610668887,70.8,"4507",0.00314229774479708
"2020-08-10","53017",0,0,1,0.62370940491834,8.78016610668887,70.8,"4507",0.0022479514635856
"2020-08-17","53017",0,0,1,0.62370940491834,8.78016610668887,70.8,"4507",0.00195789321021972
"2020-08-24","53017",0,0,1,0.62370940491834,8.78016610668887,70.8,"4507",0.000966860844552948
"2020-08-31","53017",0,0,1,0.62370940491834,8.78016610668887,70.8,"4507",0.00140194822460177
"2020-09-07","53017",0,0,1,0.62370940491834,8.78016610668887,63.5,"4507",0.000580116506731769
"2020-09-14","53017",0,0,1,0.62370940491834,8.78016610668887,63.5,"4507",0.000870174760097653
"2020-09-21","53017",0,0,1,0.62370940491834,8.78016610668887,63.5,"4507",0.000580116506731769
"2020-09-28","53017",0,0,1,0.62370940491834,8.78016610668887,63.5,"4507",0.000531773464504121
"2020-10-05","53017",0,0,1,0.62370940491834,8.78016610668887,49.4,"4507",0.000676802591187063
"2020-10-12","53017",0,0,1,0.62370940491834,8.78016610668887,49.4,"4507",0.000773488675642358
"2020-10-19","53017",0,0,1,0.62370940491834,8.78016610668887,49.4,"4507",0.000507601943390298
"2020-10-26","53017",0,0,1,0.62370940491834,8.78016610668887,49.4,"4507",0.000676802591187063
"2020-11-02","53017",0,0,1,0.62370940491834,8.78016610668887,35.1,"4507",0.00149863430905707
"2020-11-09","53017",0,0,1,0.62370940491834,8.78016610668887,35.1,"4507",0.00297309709700031
"2020-11-16","53017",0,0,1,0.62370940491834,8.78016610668887,35.1,"4507",0.00389161489932561
"2020-11-23","53017",0,0,1,0.62370940491834,8.78016610668887,35.1,"4507",0.00393995794155326
"2020-11-30","53017",0,0,1,0.62370940491834,8.78016610668887,35.1,"4507",0.00524522008169974
"2020-12-07","53017",0,0,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00425418771603297
"2020-12-14","53017",0,0,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00292475405477267
"2020-12-21","53017",0,0,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00263469580140678
"2020-12-28","53017",0,0,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00381910033598414
"2021-01-04","53017",2.4,0.4,1,0.62370940491834,8.78016610668887,30.8,"4507",0.00328732687148002
"2021-01-11","53017",3.3,0.8,1,0.62370940491834,8.78016610668887,30.8,"4507",0.00253800971695149
"2021-01-18","53017",4.2,1.4,1,0.62370940491834,8.78016610668887,30.8,"4507",0.00188537864687825
"2021-01-25","53017",6.6,1.8,1,0.62370940491834,8.78016610668887,30.8,"4507",0.00147446278794325
"2021-02-01","53017",10.8,2.7,1,0.62370940491834,8.78016610668887,28.8,"4507",0.000870174760097653
"2021-02-08","53017",14.4,3.6,1,0.62370940491834,8.78016610668887,28.8,"4507",0.0010152038867806
"2021-02-15","53017",16,5.7,1,0.62370940491834,8.78016610668887,28.8,"4507",0.000797660196756182
"2021-02-22","53017",18,10.3,1,0.62370940491834,8.78016610668887,28.8,"4507",0.000894346281211477
"2021-03-01","53017",19.6,14.2,1,0.62370940491834,8.78016610668887,41.1,"4507",0.000725145633414711
"2021-03-08","53017",22.7,15.8,1,0.62370940491834,8.78016610668887,41.1,"4507",0.000749317154528534
"2021-03-15","53017",26.5,17.2,1,0.62370940491834,8.78016610668887,41.1,"4507",0.00128109061903266
"2021-03-22","53017",29.2,18.6,1,0.62370940491834,8.78016610668887,41.1,"4507",0.00116023301346354
"2021-03-29","53017",32.1,21.9,1,0.62370940491834,8.78016610668887,41.1,"4507",0.0014261197457156
"2021-04-05","53017",34.6,26,1,0.62370940491834,8.78016610668887,49.1,"4507",0.0010152038867806
"2021-04-12","53017",37.3,28.7,1,0.62370940491834,8.78016610668887,49.1,"4507",0.000942689323439124
"2021-04-19","53017",38.7,31.1,1,0.62370940491834,8.78016610668887,49.1,"4507",0.0010152038867806
"2021-04-26","53017",39.9,32.6,1,0.62370940491834,8.78016610668887,49.1,"4507",0.000821831717870006
"2021-05-03","53017",40.9,34.6,1,0.62370940491834,8.78016610668887,56.1,"4507",0.000555944985617945
"2021-05-10","53017",42.2,36.4,1,0.62370940491834,8.78016610668887,56.1,"4507",0.000483430422276474
"2021-05-17","53017",44.2,38.1,1,0.62370940491834,8.78016610668887,56.1,"4507",0.000314229774479708
"2021-05-24","53017",45.6,39.2,1,0.62370940491834,8.78016610668887,56.1,"4507",0.000241715211138237
"2021-05-31","53017",46.8,40.6,1,0.62370940491834,8.78016610668887,56.1,"4507",0.000507601943390298
"2021-06-07","53017",47.7,42.2,1,0.62370940491834,8.78016610668887,69.6,"4507",0.000555944985617945
"2021-06-14","53017",48.5,43.5,1,0.62370940491834,8.78016610668887,69.6,"4507",0.000483430422276474
"2021-06-21","53017",49.2,44.2,1,0.62370940491834,8.78016610668887,69.6,"4507",0.000604288027845592
"2021-06-28","53017",49.7,44.9,1,0.62370940491834,8.78016610668887,69.6,"4507",0.000435087380048826
"2021-07-05","53017",50.1,45.4,1,0.62370940491834,8.78016610668887,77.2,"4507",0.000362572816707355
"2021-07-12","53017",50.6,45.9,1,0.62370940491834,8.78016610668887,77.2,"4507",0.000846003238983829
"2021-07-19","53017",51.1,46.3,1,0.62370940491834,8.78016610668887,77.2,"4507",0.000386744337821179
"2021-07-26","53017",51.7,46.7,1,0.62370940491834,8.78016610668887,77.2,"4507",0.00195789321021972
"2021-08-02","53017",52.5,47.1,1,0.62370940491834,8.78016610668887,71.5,"4507",0.00306978318145561
"2021-08-09","53017",53.3,47.6,1,0.62370940491834,8.78016610668887,71.5,"4507",0.00280389644920355
"2021-08-16","53017",54.2,48.2,1,0.62370940491834,8.78016610668887,71.5,"4507",0.00546276377172415
"2021-08-23","53017",55.3,48.8,1,0.62370940491834,8.78016610668887,71.5,"4507",0.00396412946266709
"2021-08-30","53017",56.1,49.5,1,0.62370940491834,8.78016610668887,71.5,"4507",0.00778322979865123
"2021-09-06","53017",56.9,50.3,1,0.62370940491834,8.78016610668887,60.9,"4507",0.00413333011046385
"2021-09-13","53017",57.8,51.3,1,0.62370940491834,8.78016610668887,60.9,"4507",0.00616373788402504
"2021-09-20","53017",58.3,52.1,1,0.62370940491834,8.78016610668887,60.9,"4507",0.00389161489932561
"2021-09-27","53017",58.7,52.8,1,0.62370940491834,8.78016610668887,60.9,"4507",0.00447173140605738
"2021-10-04","53017",59.2,53.7,1,0.62370940491834,8.78016610668887,47.3,"4507",0.00331149839259385
"2021-10-11","53017",59.5,54.2,1,0.62370940491834,8.78016610668887,47.3,"4507",0.00321481230813855
"2021-10-18","53017",59.8,54.8,1,0.62370940491834,8.78016610668887,47.3,"4507",0.00263469580140678
"2021-10-25","53017",60.3,55.4,1,0.62370940491834,8.78016610668887,47.3,"4507",0.00212709385801649
"2021-11-01","53017",60.7,55.7,1,0.62370940491834,8.78016610668887,37.7,"4507",0.00137777670348795
"2021-11-08","53017",61,56,1,0.62370940491834,8.78016610668887,37.7,"4507",0.00360155664595973
"2021-11-15","53017",61.7,56.4,1,0.62370940491834,8.78016610668887,37.7,"4507",0.00526939160281356
"2021-11-22","53017",62.1,56.6,1,0.62370940491834,8.78016610668887,37.7,"4507",0.00164366343574001
"2021-11-29","53017",62.8,57,1,0.62370940491834,8.78016610668887,37.7,"4507",0.00244132363249619
"2021-12-06","53017",63.2,57.6,1,0.62370940491834,8.78016610668887,24.9,"4507",0.00161949191462619
"2021-12-13","53017",63.6,58.2,1,0.62370940491834,8.78016610668887,24.9,"4507",0.000773488675642358
"2021-12-20","53017",64,58.4,1,0.62370940491834,8.78016610668887,24.9,"4507",0.00123274757680501
"2021-12-27","53017",64.2,58.7,1,0.62370940491834,8.78016610668887,24.9,"4507",0.00130526214014648
"2022-01-03","53017",64.5,59.1,1,0.62370940491834,8.78016610668887,23.3,"4507",0.00621208092625269
"2022-01-10","53017",64.9,59.5,1,0.62370940491834,8.78016610668887,23.3,"4507",0.0148896570061154
"2022-01-17","53017",65.3,59.7,1,0.62370940491834,8.78016610668887,23.3,"4507",0.0149621715694569
"2022-01-24","53017",65.6,60,1,0.62370940491834,8.78016610668887,23.3,"4507",0.0258393560706775
"2022-01-31","53017",65.9,60.3,1,0.62370940491834,8.78016610668887,23.3,"4507",0.0199656764400184
"2022-02-07","53017",66,60.6,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00846003238983829
"2022-02-14","53017",66.1,60.8,1,0.62370940491834,8.78016610668887,29.1,"4507",0.0019337216891059
"2022-02-21","53017",66.3,61.1,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00282806797031737
"2022-02-28","53017",66.4,61.2,1,0.62370940491834,8.78016610668887,29.1,"4507",0.00207875081578884
"2022-03-07","53017",66.5,61.3,1,0.62370940491834,8.78016610668887,NA,NA,0.000821831717870006
"2022-03-14","53017",66.6,61.4,1,0.62370940491834,8.78016610668887,NA,NA,0.000749317154528534
"2022-03-21","53017",66.6,61.5,1,0.62370940491834,8.78016610668887,NA,NA,0.000241715211138237
"2022-03-28","53017",66.7,61.6,1,0.62370940491834,8.78016610668887,NA,NA,0.000338401295593532
"2022-04-04","53017",66.7,61.6,1,0.62370940491834,8.78016610668887,NA,NA,0.000169200647796766
