"week","county_fips","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","postal","cases_pcap"
"2020-04-27","05097",0,0,0,0.793183578621224,4.45236901326667,58.7,"0307",0.00011119759813188
"2020-05-04","05097",0,0,0,0.793183578621224,4.45236901326667,66.2,"0307",0
"2020-05-11","05097",0,0,0,0.793183578621224,4.45236901326667,66.2,"0307",0
"2020-05-18","05097",0,0,0,0.793183578621224,4.45236901326667,66.2,"0307",0
"2020-05-25","05097",0,0,0,0.793183578621224,4.45236901326667,66.2,"0307",0.00011119759813188
"2020-06-01","05097",0,0,0,0.793183578621224,4.45236901326667,75.5,"0307",0
"2020-06-08","05097",0,0,0,0.793183578621224,4.45236901326667,75.5,"0307",0.00011119759813188
"2020-06-15","05097",0,0,0,0.793183578621224,4.45236901326667,75.5,"0307",-0.00011119759813188
"2020-06-22","05097",0,0,0,0.793183578621224,4.45236901326667,75.5,"0307",0.000222395196263761
"2020-06-29","05097",0,0,0,0.793183578621224,4.45236901326667,75.5,"0307",0.00011119759813188
"2020-07-06","05097",0,0,0,0.793183578621224,4.45236901326667,80.4,"0307",0.000333592794395641
"2020-07-13","05097",0,0,0,0.793183578621224,4.45236901326667,80.4,"0307",0.000667185588791282
"2020-07-20","05097",0,0,0,0.793183578621224,4.45236901326667,80.4,"0307",0.000555987990659402
"2020-07-27","05097",0,0,0,0.793183578621224,4.45236901326667,80.4,"0307",0.000667185588791282
"2020-08-03","05097",0,0,0,0.793183578621224,4.45236901326667,76.9,"0307",0.0011119759813188
"2020-08-10","05097",0,0,0,0.793183578621224,4.45236901326667,76.9,"0307",0.000889580785055043
"2020-08-17","05097",0,0,0,0.793183578621224,4.45236901326667,76.9,"0307",0.00166796397197821
"2020-08-24","05097",0,0,0,0.793183578621224,4.45236901326667,76.9,"0307",0.00422550872901145
"2020-08-31","05097",0,0,0,0.793183578621224,4.45236901326667,76.9,"0307",0.00244634715890137
"2020-09-07","05097",0,0,0,0.793183578621224,4.45236901326667,71.4,"0307",0.000333592794395641
"2020-09-14","05097",0,0,0,0.793183578621224,4.45236901326667,71.4,"0307",0.00166796397197821
"2020-09-21","05097",0,0,0,0.793183578621224,4.45236901326667,71.4,"0307",0.00166796397197821
"2020-09-28","05097",0,0,0,0.793183578621224,4.45236901326667,71.4,"0307",0.00200155676637385
"2020-10-05","05097",0,0,0,0.793183578621224,4.45236901326667,59.7,"0307",0.000444790392527521
"2020-10-12","05097",0,0,0,0.793183578621224,4.45236901326667,59.7,"0307",0.000667185588791282
"2020-10-19","05097",0,0,0,0.793183578621224,4.45236901326667,59.7,"0307",0.000333592794395641
"2020-10-26","05097",0,0,0,0.793183578621224,4.45236901326667,59.7,"0307",0.000667185588791282
"2020-11-02","05097",0,0,0,0.793183578621224,4.45236901326667,53.7,"0307",0.0011119759813188
"2020-11-09","05097",0,0,0,0.793183578621224,4.45236901326667,53.7,"0307",0.00211275436450573
"2020-11-16","05097",0,0,0,0.793183578621224,4.45236901326667,53.7,"0307",0.00311353274769265
"2020-11-23","05097",0,0,0,0.793183578621224,4.45236901326667,53.7,"0307",0.0056710775047259
"2020-11-30","05097",0,0,0,0.793183578621224,4.45236901326667,53.7,"0307",0.00589347270098966
"2020-12-07","05097",0,0,0,0.793183578621224,4.45236901326667,42.7,"0307",0.00533748471033026
"2020-12-14","05097",0,0,0,0.793183578621224,4.45236901326667,42.7,"0307",0.00433670632714333
"2020-12-21","05097",0,0,0,0.793183578621224,4.45236901326667,42.7,"0307",0.00344712554208829
"2020-12-28","05097",0,0,0,0.793183578621224,4.45236901326667,42.7,"0307",0.00555987990659402
