"week","county_fips","is_metro","dose1_pct","fully_vacc_pct","conservative_pct","pop_density","temp","cases_pcap"
"2020-12-07","27001",0,0,0,0.629725685785536,3.35577468125594,28.8,0.00511557408109132
"2020-12-14","27001",0,0,0,0.629725685785536,3.35577468125594,28.8,0.00303145130731338
"2020-12-21","27001",0,0,0,0.629725685785536,3.35577468125594,28.8,0.00208412277377795
"2020-12-28","27001",0,0,0,0.629725685785536,3.35577468125594,28.8,0.00157888088922572
"2021-01-04","27001",0,0,0,0.629725685785536,3.35577468125594,24.8,0.00107363900467349
"2021-01-11","27001",0,4.3,1,0.629725685785536,3.35577468125594,24.8,0.00170519136036377
"2021-01-18","27001",0,5.5,1.3,0.629725685785536,3.35577468125594,24.8,0.00239989895162309
"2021-01-25","27001",0,12,2,0.629725685785536,3.35577468125594,24.8,0.00094732853353543
"2021-02-01","27001",0,16.3,2.9,0.629725685785536,3.35577468125594,22.3,0.00113679424024252
"2021-02-08","27001",0,19.6,4.6,0.629725685785536,3.35577468125594,22.3,0.000252620942276115
"2021-02-15","27001",0,20.8,9.6,0.629725685785536,3.35577468125594,22.3,0.00107363900467349
"2021-02-22","27001",0,23.8,12.5,0.629725685785536,3.35577468125594,22.3,0.00119994947581154
"2021-03-01","27001",0,27.7,17,0.629725685785536,3.35577468125594,33.9,0.000315776177845143
"2021-03-08","27001",0,32.4,20,0.629725685785536,3.35577468125594,33.9,0.000252620942276115
"2021-03-15","27001",0,35.1,22.1,0.629725685785536,3.35577468125594,33.9,0.000252620942276115
"2021-03-22","27001",0,37.7,24.9,0.629725685785536,3.35577468125594,33.9,0.000884173297966401
"2021-03-29","27001",0,40.1,29.7,0.629725685785536,3.35577468125594,33.9,0.00107363900467349
"2021-04-05","27001",0,43.2,34.1,0.629725685785536,3.35577468125594,45.2,0.00246305418719212
"2021-04-12","27001",0,44.8,36.8,0.629725685785536,3.35577468125594,45.2,0.00107363900467349
"2021-04-19","27001",0,45.6,38.4,0.629725685785536,3.35577468125594,45.2,0.000884173297966401
"2021-04-26","27001",0,46.7,41.6,0.629725685785536,3.35577468125594,45.2,0.00151572565365669
"2021-05-03","27001",0,47.6,43,0.629725685785536,3.35577468125594,56.2,0.000884173297966401
"2021-05-10","27001",0,48.2,44.1,0.629725685785536,3.35577468125594,56.2,0.000884173297966401
"2021-05-17","27001",0,49.3,45,0.629725685785536,3.35577468125594,56.2,0.000757862826828344
"2021-05-24","27001",0,50,45.6,0.629725685785536,3.35577468125594,56.2,0.000315776177845143
"2021-05-31","27001",0,50.4,46.1,0.629725685785536,3.35577468125594,56.2,0.000568397120121258
