"week","county_fips","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","cases_pcap","next_cases_pcap"
"2020-03-30","31031",0,0,0,0.885758039816233,0.375076077963537,39.7,0.000172711571675302,0
"2020-04-06","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0,0
"2020-04-13","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0,0
"2020-04-20","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0,0
"2020-04-27","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0,0
"2020-05-04","31031",0,0,0,0.885758039816233,0.375076077963537,54.7,0,0
"2020-05-11","31031",0,0,0,0.885758039816233,0.375076077963537,54.7,0,0
"2020-05-18","31031",0,0,0,0.885758039816233,0.375076077963537,54.7,0,0
"2020-05-25","31031",0,0,0,0.885758039816233,0.375076077963537,54.7,0,0
"2020-06-01","31031",0,0,0,0.885758039816233,0.375076077963537,71,0,0
"2020-06-08","31031",0,0,0,0.885758039816233,0.375076077963537,71,0,0
"2020-06-15","31031",0,0,0,0.885758039816233,0.375076077963537,71,0,0
"2020-06-22","31031",0,0,0,0.885758039816233,0.375076077963537,71,0,0.000172711571675302
"2020-06-29","31031",0,0,0,0.885758039816233,0.375076077963537,71,0.000172711571675302,0.000172711571675302
"2020-07-06","31031",0,0,0,0.885758039816233,0.375076077963537,74.2,0.000172711571675302,0
"2020-07-13","31031",0,0,0,0.885758039816233,0.375076077963537,74.2,0,0.000172711571675302
"2020-07-20","31031",0,0,0,0.885758039816233,0.375076077963537,74.2,0.000172711571675302,0.000172711571675302
"2020-07-27","31031",0,0,0,0.885758039816233,0.375076077963537,74.2,0.000172711571675302,-0.000172711571675302
"2020-08-03","31031",0,0,0,0.885758039816233,0.375076077963537,73.5,-0.000172711571675302,0
"2020-08-10","31031",0,0,0,0.885758039816233,0.375076077963537,73.5,0,0.000172711571675302
"2020-08-17","31031",0,0,0,0.885758039816233,0.375076077963537,73.5,0.000172711571675302,0.00276338514680484
"2020-08-24","31031",0,0,0,0.885758039816233,0.375076077963537,73.5,0.00276338514680484,0.00241796200345423
"2020-08-31","31031",0,0,0,0.885758039816233,0.375076077963537,73.5,0.00241796200345423,0.000345423143350604
"2020-09-07","31031",0,0,0,0.885758039816233,0.375076077963537,62,0.000345423143350604,0.00138169257340242
"2020-09-14","31031",0,0,0,0.885758039816233,0.375076077963537,62,0.00138169257340242,0.000345423143350604
"2020-09-21","31031",0,0,0,0.885758039816233,0.375076077963537,62,0.000345423143350604,0.000863557858376511
"2020-09-28","31031",0,0,0,0.885758039816233,0.375076077963537,62,0.000863557858376511,0.000518134715025907
"2020-10-05","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0.000518134715025907,0.00120898100172712
"2020-10-12","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0.00120898100172712,0.00103626943005181
"2020-10-19","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0.00103626943005181,0.00224525043177893
"2020-10-26","31031",0,0,0,0.885758039816233,0.375076077963537,44.1,0.00224525043177893,0.00500863557858377
"2020-11-02","31031",0,0,0,0.885758039816233,0.375076077963537,42.1,0.00500863557858377,0.00552677029360967
"2020-11-09","31031",0,0,0,0.885758039816233,0.375076077963537,42.1,0.00552677029360967,0.00362694300518135
"2020-11-16","31031",0,0,0,0.885758039816233,0.375076077963537,42.1,0.00362694300518135,0.00466321243523316
"2020-11-23","31031",0,0,0,0.885758039816233,0.375076077963537,42.1,0.00466321243523316,0.00276338514680484
"2020-11-30","31031",0,0,0,0.885758039816233,0.375076077963537,42.1,0.00276338514680484,0.00449050086355786
"2020-12-07","31031",0,0,0,0.885758039816233,0.375076077963537,32,0.00449050086355786,0.00241796200345423
"2020-12-14","31031",0,0,0,0.885758039816233,0.375076077963537,32,0.00241796200345423,0.000172711571675302
