"week","county_fips","lag_cases","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","cases_pcap","next_cases_pcap"
"2020-03-23","21027",0,0,0,0,0.765323134255173,13.6062685575392,49.6,9.9601593625498e-05,9.9601593625498e-05
"2020-03-30","21027",2,0,0,0,0.765323134255173,13.6062685575392,49.6,9.9601593625498e-05,0.000149402390438247
"2020-04-06","21027",2,0,0,0,0.765323134255173,13.6062685575392,51.8,0.000149402390438247,0.000298804780876494
"2020-04-13","21027",3,0,0,0,0.765323134255173,13.6062685575392,51.8,0.000298804780876494,0.000398406374501992
"2020-04-20","21027",6,0,0,0,0.765323134255173,13.6062685575392,51.8,0.000398406374501992,0.000448207171314741
"2020-04-27","21027",8,0,0,0,0.765323134255173,13.6062685575392,51.8,0.000448207171314741,0.000647410358565737
"2020-05-04","21027",9,0,0,0,0.765323134255173,13.6062685575392,61.5,0.000647410358565737,0.000697211155378486
"2020-05-11","21027",13,0,0,0,0.765323134255173,13.6062685575392,61.5,0.000697211155378486,0.000846613545816733
"2020-05-18","21027",14,0,0,0,0.765323134255173,13.6062685575392,61.5,0.000846613545816733,0.000846613545816733
"2020-05-25","21027",17,0,0,0,0.765323134255173,13.6062685575392,61.5,0.000846613545816733,0.000946215139442231
"2020-06-01","21027",17,0,0,0,0.765323134255173,13.6062685575392,72.7,0.000946215139442231,0.00114541832669323
"2020-06-08","21027",19,0,0,0,0.765323134255173,13.6062685575392,72.7,0.00114541832669323,0.00119521912350598
"2020-06-15","21027",23,0,0,0,0.765323134255173,13.6062685575392,72.7,0.00119521912350598,0.00119521912350598
"2020-06-22","21027",24,0,0,0,0.765323134255173,13.6062685575392,72.7,0.00119521912350598,0.00124501992031873
"2020-06-29","21027",24,0,0,0,0.765323134255173,13.6062685575392,72.7,0.00124501992031873,0.00149402390438247
"2020-07-06","21027",25,0,0,0,0.765323134255173,13.6062685575392,78.1,0.00149402390438247,0.00184262948207171
"2020-07-13","21027",30,0,0,0,0.765323134255173,13.6062685575392,78.1,0.00184262948207171,0.00204183266932271
"2020-07-20","21027",37,0,0,0,0.765323134255173,13.6062685575392,78.1,0.00204183266932271,0.00258964143426295
"2020-07-27","21027",41,0,0,0,0.765323134255173,13.6062685575392,78.1,0.00258964143426295,0.00348605577689243
"2020-08-03","21027",52,0,0,0,0.765323134255173,13.6062685575392,73.3,0.00348605577689243,0.00418326693227092
"2020-08-10","21027",70,0,0,0,0.765323134255173,13.6062685575392,73.3,0.00418326693227092,0.00453187250996016
"2020-08-17","21027",84,0,0,0,0.765323134255173,13.6062685575392,73.3,0.00453187250996016,0.00473107569721116
"2020-08-24","21027",91,0,0,0,0.765323134255173,13.6062685575392,73.3,0.00473107569721116,0.00512948207171315
"2020-08-31","21027",95,0,0,0,0.765323134255173,13.6062685575392,73.3,0.00512948207171315,0.00572709163346614
"2020-09-07","21027",103,0,0,0,0.765323134255173,13.6062685575392,67.7,0.00572709163346614,0.00617529880478088
"2020-09-14","21027",115,0,0,0,0.765323134255173,13.6062685575392,67.7,0.00617529880478088,0.00677290836653386
"2020-09-21","21027",124,0,0,0,0.765323134255173,13.6062685575392,67.7,0.00677290836653386,0.00722111553784861
"2020-09-28","21027",136,0,0,0,0.765323134255173,13.6062685575392,67.7,0.00722111553784861,0.00766932270916335
"2020-10-05","21027",145,0,0,0,0.765323134255173,13.6062685575392,56.6,0.00766932270916335,0.00871513944223107
"2020-10-12","21027",154,0,0,0,0.765323134255173,13.6062685575392,56.6,0.00871513944223107,0.00936254980079681
"2020-10-19","21027",175,0,0,0,0.765323134255173,13.6062685575392,56.6,0.00936254980079681,0.010906374501992
"2020-10-26","21027",188,0,0,0,0.765323134255173,13.6062685575392,56.6,0.010906374501992,0.0148406374501992
"2020-11-02","21027",219,0,0,0,0.765323134255173,13.6062685575392,49.1,0.0148406374501992,0.0169820717131474
"2020-11-09","21027",298,0,0,0,0.765323134255173,13.6062685575392,49.1,0.0169820717131474,0.0208167330677291
"2020-11-16","21027",341,0,0,0,0.765323134255173,13.6062685575392,49.1,0.0208167330677291,0.0219123505976096
"2020-11-23","21027",418,0,0,0,0.765323134255173,13.6062685575392,49.1,0.0219123505976096,0.0234561752988048
"2020-11-30","21027",440,0,0,0,0.765323134255173,13.6062685575392,49.1,0.0234561752988048,0.0264442231075697
"2020-12-07","21027",471,0,0,0,0.765323134255173,13.6062685575392,37,0.0264442231075697,0.0281872509960159
"2020-12-14","21027",531,0,0,0,0.765323134255173,13.6062685575392,37,0.0281872509960159,0.0311254980079681
"2020-12-21","21027",566,0,0,0,0.765323134255173,13.6062685575392,37,0.0311254980079681,0.0342131474103586
"2020-12-28","21027",625,0,0,0,0.765323134255173,13.6062685575392,37,0.0342131474103586,0.039292828685259
"2021-01-04","21027",687,0,0,0,0.765323134255173,13.6062685575392,34.8,0.039292828685259,0.0436752988047809
"2021-01-11","21027",789,0,0,0,0.765323134255173,13.6062685575392,34.8,0.0436752988047809,0.0472111553784861
"2021-01-18","21027",877,4,0.5,0,0.765323134255173,13.6062685575392,34.8,0.0472111553784861,0.0495517928286853
"2021-01-25","21027",948,5.6,1,0,0.765323134255173,13.6062685575392,34.8,0.0495517928286853,0.0510956175298805
"2021-02-01","21027",995,6.6,1.7,0,0.765323134255173,13.6062685575392,30.7,0.0510956175298805,0.0530378486055777
"2021-02-08","21027",1026,7.2,2.5,0,0.765323134255173,13.6062685575392,30.7,0.0530378486055777,0.0540338645418327
"2021-02-15","21027",1065,7.7,3.6,0,0.765323134255173,13.6062685575392,30.7,0.0540338645418327,0.0547808764940239
"2021-02-22","21027",1085,9.2,5.6,0,0.765323134255173,13.6062685575392,30.7,0.0547808764940239,0.0553784860557769
"2021-03-01","21027",1100,12.5,6.5,0,0.765323134255173,13.6062685575392,50.4,0.0553784860557769,0.0557270916334661
"2021-03-08","21027",1112,16.2,8.4,0,0.765323134255173,13.6062685575392,50.4,0.0557270916334661,0.0564243027888446
"2021-03-15","21027",1119,18.7,9.8,0,0.765323134255173,13.6062685575392,50.4,0.0564243027888446,0.0568725099601594
"2021-03-22","21027",1133,21.6,11.6,0,0.765323134255173,13.6062685575392,50.4,0.0568725099601594,0.0570219123505976
"2021-03-29","21027",1142,24.3,15,0,0.765323134255173,13.6062685575392,50.4,0.0570219123505976,0.0581175298804781
"2021-04-05","21027",1145,26.6,18.1,0,0.765323134255173,13.6062685575392,54.7,0.0581175298804781,0.0597111553784861
"2021-04-12","21027",1167,27.5,20.9,0,0.765323134255173,13.6062685575392,54.7,0.0597111553784861,0.060906374501992
"2021-04-19","21027",1199,28.5,23.5,0,0.765323134255173,13.6062685575392,54.7,0.060906374501992,0.0618027888446215
"2021-04-26","21027",1223,29.4,24.6,0,0.765323134255173,13.6062685575392,54.7,0.0618027888446215,0.063496015936255
"2021-05-03","21027",1241,30.1,26,0,0.765323134255173,13.6062685575392,61.8,0.063496015936255,0.064093625498008
"2021-05-10","21027",1275,30.5,26.8,0,0.765323134255173,13.6062685575392,61.8,0.064093625498008,0.0642430278884462
"2021-05-17","21027",1287,31.5,28.2,0,0.765323134255173,13.6062685575392,61.8,0.0642430278884462,0.06449203187251
"2021-05-24","21027",1290,32,28.6,0,0.765323134255173,13.6062685575392,61.8,0.06449203187251,0.0648406374501992
"2021-05-31","21027",1295,32.4,29.1,0,0.765323134255173,13.6062685575392,61.8,0.0648406374501992,0.0653884462151394
"2021-06-07","21027",1302,32.8,29.6,0,0.765323134255173,13.6062685575392,73.2,0.0653884462151394,0.0655378486055777
"2021-06-14","21027",1313,33.2,30.1,0,0.765323134255173,13.6062685575392,73.2,0.0655378486055777,0.0656374501992032
"2021-06-21","21027",1316,33.5,30.5,0,0.765323134255173,13.6062685575392,73.2,0.0656374501992032,0.0658864541832669
"2021-06-28","21027",1318,33.8,31.1,0,0.765323134255173,13.6062685575392,73.2,0.0658864541832669,0.0663844621513944
"2021-07-05","21027",1323,34,31.4,0,0.765323134255173,13.6062685575392,75.5,0.0663844621513944,0.0670318725099602
"2021-07-12","21027",1333,34.3,31.6,0,0.765323134255173,13.6062685575392,75.5,0.0670318725099602,0.0677290836653386
"2021-07-19","21027",1346,34.8,31.8,0,0.765323134255173,13.6062685575392,75.5,0.0677290836653386,0.0699701195219123
"2021-07-26","21027",1360,35.6,32.2,0,0.765323134255173,13.6062685575392,75.5,0.0699701195219123,0.0731573705179283
"2021-08-02","21027",1405,36.4,32.4,0,0.765323134255173,13.6062685575392,76.3,0.0731573705179283,0.0775398406374502
"2021-08-09","21027",1469,37.3,32.7,0,0.765323134255173,13.6062685575392,76.3,0.0775398406374502,0.0835159362549801
"2021-08-16","21027",1557,38.2,33.3,0,0.765323134255173,13.6062685575392,76.3,0.0835159362549801,0.0945717131474104
"2021-08-23","21027",1677,39,33.9,0,0.765323134255173,13.6062685575392,76.3,0.0945717131474104,0.105527888446215
"2021-08-30","21027",1899,39.9,34.6,0,0.765323134255173,13.6062685575392,76.3,0.105527888446215,0.110209163346614
"2021-09-06","21027",2119,41.1,35.5,0,0.765323134255173,13.6062685575392,68.7,0.110209163346614,0.116782868525896
"2021-09-13","21027",2213,41.8,36.1,0,0.765323134255173,13.6062685575392,68.7,0.116782868525896,0.123057768924303
"2021-09-20","21027",2345,42.3,37.2,0,0.765323134255173,13.6062685575392,68.7,0.123057768924303,0.12699203187251
"2021-09-27","21027",2471,42.8,37.9,0,0.765323134255173,13.6062685575392,68.7,0.12699203187251,0.12898406374502
"2021-10-04","21027",2550,43.2,38.5,0,0.765323134255173,13.6062685575392,63.1,0.12898406374502,0.131225099601594
"2021-10-11","21027",2590,43.6,39,0,0.765323134255173,13.6062685575392,63.1,0.131225099601594,0.133117529880478
"2021-10-18","21027",2635,43.9,39.4,0,0.765323134255173,13.6062685575392,63.1,0.133117529880478,0.136454183266932
"2021-10-25","21027",2673,44.1,39.7,0,0.765323134255173,13.6062685575392,63.1,0.136454183266932,0.138496015936255
"2021-11-01","21027",2740,43.3,38.9,0,0.765323134255173,13.6062685575392,42.5,0.138496015936255,0.144621513944223
"2021-11-08","21027",2781,43.9,39.2,0,0.765323134255173,13.6062685575392,42.5,0.144621513944223,0.15054780876494
"2021-11-15","21027",2904,44.4,39.5,0,0.765323134255173,13.6062685575392,42.5,0.15054780876494,0.153386454183267
"2021-11-22","21027",3023,44.7,39.7,0,0.765323134255173,13.6062685575392,42.5,0.153386454183267,0.157669322709163
"2021-11-29","21027",3080,45.4,40.1,0,0.765323134255173,13.6062685575392,42.5,0.157669322709163,0.161553784860558
"2021-12-06","21027",3166,45.8,40.4,0,0.765323134255173,13.6062685575392,47.1,0.161553784860558,0.16593625498008
"2021-12-13","21027",3244,46.2,40.8,0,0.765323134255173,13.6062685575392,47.1,0.16593625498008,0.168974103585657
"2021-12-20","21027",3332,46.3,40.9,0,0.765323134255173,13.6062685575392,47.1,0.168974103585657,0.172559760956175
"2021-12-27","21027",3393,46.6,41.2,0,0.765323134255173,13.6062685575392,47.1,0.172559760956175,0.180727091633466
"2022-01-03","21027",3465,47,41.5,0,0.765323134255173,13.6062685575392,30.5,0.180727091633466,0.189392430278884
"2022-01-10","21027",3629,47.5,41.8,0,0.765323134255173,13.6062685575392,30.5,0.189392430278884,0.206673306772908
"2022-01-17","21027",3803,55.4,47.3,0,0.765323134255173,13.6062685575392,30.5,0.206673306772908,0.226245019920319
"2022-01-24","21027",4150,55.7,47.6,0,0.765323134255173,13.6062685575392,30.5,0.226245019920319,0.235806772908367
"2022-01-31","21027",4543,56.1,47.7,0,0.765323134255173,13.6062685575392,30.5,0.235806772908367,0.240637450199203
"2022-02-07","21027",4735,56.3,48,0,0.765323134255173,13.6062685575392,35.9,0.240637450199203,0.245169322709163
"2022-02-14","21027",4832,56.5,48.2,0,0.765323134255173,13.6062685575392,35.9,0.245169322709163,0.247211155378486
"2022-02-21","21027",4923,56.6,48.3,0,0.765323134255173,13.6062685575392,35.9,0.247211155378486,0.248306772908367
