"week","county_fips","lag_cases","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","cases_pcap","next_cases_pcap"
"2020-05-25","46077",0,0,0,0,0.705289672544081,2.30435528070382,54.6,0.000201328769881216,0.00100664384940608
"2020-06-01","46077",1,0,0,0,0.705289672544081,2.30435528070382,70.7,0.00100664384940608,0.00100664384940608
"2020-06-08","46077",5,0,0,0,0.705289672544081,2.30435528070382,70.7,0.00100664384940608,0.00100664384940608
"2020-06-15","46077",5,0,0,0,0.705289672544081,2.30435528070382,70.7,0.00100664384940608,0.0012079726192873
"2020-06-22","46077",5,0,0,0,0.705289672544081,2.30435528070382,70.7,0.0012079726192873,0.0012079726192873
"2020-06-29","46077",6,0,0,0,0.705289672544081,2.30435528070382,70.7,0.0012079726192873,0.00161063015904973
"2020-07-06","46077",6,0,0,0,0.705289672544081,2.30435528070382,72.8,0.00161063015904973,0.00161063015904973
"2020-07-13","46077",8,0,0,0,0.705289672544081,2.30435528070382,72.8,0.00161063015904973,0.00201328769881216
"2020-07-20","46077",8,0,0,0,0.705289672544081,2.30435528070382,72.8,0.00201328769881216,0.00241594523857459
"2020-07-27","46077",10,0,0,0,0.705289672544081,2.30435528070382,72.8,0.00241594523857459,0.00281860277833702
"2020-08-03","46077",12,0,0,0,0.705289672544081,2.30435528070382,70.8,0.00281860277833702,0.00301993154821824
"2020-08-10","46077",14,0,0,0,0.705289672544081,2.30435528070382,70.8,0.00301993154821824,0.00362391785786189
"2020-08-17","46077",15,0,0,0,0.705289672544081,2.30435528070382,70.8,0.00362391785786189,0.00463056170726797
"2020-08-24","46077",18,0,0,0,0.705289672544081,2.30435528070382,70.8,0.00463056170726797,0.0050332192470304
"2020-08-31","46077",23,0,0,0,0.705289672544081,2.30435528070382,70.8,0.0050332192470304,0.00644252063619891
"2020-09-07","46077",25,0,0,0,0.705289672544081,2.30435528070382,59.4,0.00644252063619891,0.00865713710489229
"2020-09-14","46077",32,0,0,0,0.705289672544081,2.30435528070382,59.4,0.00865713710489229,0.0110730823434669
