"week","county_fips","lag_cases","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","cases_pcap","next_cases_pcap"
"2020-03-02","42091",0,0,0,1,0.373700645095529,656.591561104439,46.4,4.87032159951102e-06,2.92219295970661e-05
"2020-03-09","42091",4,0,0,1,0.373700645095529,656.591561104439,46.4,2.92219295970661e-05,0.000133933843986553
"2020-03-16","42091",24,0,0,1,0.373700645095529,656.591561104439,46.4,0.000133933843986553,0.000594179235140344
"2020-03-23","42091",110,0,0,1,0.373700645095529,656.591561104439,46.4,0.000594179235140344,0.00135273182426419
"2020-03-30","42091",488,0,0,1,0.373700645095529,656.591561104439,46.4,0.00135273182426419,0.00263484398533546
"2020-04-06","42091",1111,0,0,1,0.373700645095529,656.591561104439,49.7,0.00263484398533546,0.0035468117048439
"2020-04-13","42091",2164,0,0,1,0.373700645095529,656.591561104439,49.7,0.0035468117048439,0.00454522763274366
"2020-04-20","42091",2913,0,0,1,0.373700645095529,656.591561104439,49.7,0.00454522763274366,0.00554242598024354
"2020-04-27","42091",3733,0,0,1,0.373700645095529,656.591561104439,49.7,0.00554242598024354,0.00640447290335699
"2020-05-04","42091",4552,0,0,1,0.373700645095529,656.591561104439,60.1,0.00640447290335699,0.00714963210808218
"2020-05-11","42091",5260,0,0,1,0.373700645095529,656.591561104439,60.1,0.00714963210808218,0.00794471210920235
"2020-05-18","42091",5872,0,0,1,0.373700645095529,656.591561104439,60.1,0.00794471210920235,0.00859733520353683
"2020-05-25","42091",6525,0,0,1,0.373700645095529,656.591561104439,60.1,0.00859733520353683,0.00923169459187314
"2020-06-01","42091",7061,0,0,1,0.373700645095529,656.591561104439,72.2,0.00923169459187314,0.00961644999823451
"2020-06-08","42091",7582,0,0,1,0.373700645095529,656.591561104439,72.2,0.00961644999823451,0.00986605398020945
"2020-06-15","42091",7898,0,0,1,0.373700645095529,656.591561104439,72.2,0.00986605398020945,0.010199671009776
"2020-06-22","42091",8103,0,0,1,0.373700645095529,656.591561104439,72.2,0.010199671009776,0.0104833672429475
"2020-06-29","42091",8377,0,0,1,0.373700645095529,656.591561104439,72.2,0.0104833672429475,0.0107828920213174
