"week","county_fips","lag_cases","dose1_pct","fully_vacc_pct","Metro_status","conservative_pct","pop_density","temp","cases_pcap","next_cases_pcap"
"2020-03-30","47097",0,0,0,0,0.632905744562186,21.512788692286,55.8,7.60543027721793e-05,0.000304217211088717
"2020-04-06","47097",2,0,0,0,0.632905744562186,21.512788692286,57.8,0.000304217211088717,0.000570407270791345
"2020-04-13","47097",8,0,0,0,0.632905744562186,21.512788692286,57.8,0.000570407270791345,0.000684488724949614
"2020-04-20","47097",15,0,0,0,0.632905744562186,21.512788692286,57.8,0.000684488724949614,0.000912651633266152
"2020-04-27","47097",18,0,0,0,0.632905744562186,21.512788692286,57.8,0.000912651633266152,0.000988705936038331
"2020-05-04","47097",24,0,0,0,0.632905744562186,21.512788692286,67.6,0.000988705936038331,0.00167319466098795
"2020-05-11","47097",26,0,0,0,0.632905744562186,21.512788692286,67.6,0.00167319466098795,0.00193938472069057
"2020-05-18","47097",44,0,0,0,0.632905744562186,21.512788692286,67.6,0.00193938472069057,0.00212952047762102
"2020-05-25","47097",51,0,0,0,0.632905744562186,21.512788692286,67.6,0.00212952047762102,0.00228162908316538
"2020-06-01","47097",56,0,0,0,0.632905744562186,21.512788692286,77.1,0.00228162908316538,0.00239571053732365
"2020-06-08","47097",60,0,0,0,0.632905744562186,21.512788692286,77.1,0.00239571053732365,0.00273795489979846
"2020-06-15","47097",63,0,0,0,0.632905744562186,21.512788692286,77.1,0.00273795489979846,0.00376468798722288
"2020-06-22","47097",72,0,0,0,0.632905744562186,21.512788692286,77.1,0.00376468798722288,0.005513936950983
"2020-06-29","47097",99,0,0,0,0.632905744562186,21.512788692286,77.1,0.005513936950983,0.00692094155226832
"2020-07-06","47097",145,0,0,0,0.632905744562186,21.512788692286,82.4,0.00692094155226832,0.00939270639236415
"2020-07-13","47097",182,0,0,0,0.632905744562186,21.512788692286,82.4,0.00939270639236415,0.0124348785032513
"2020-07-20","47097",247,0,0,0,0.632905744562186,21.512788692286,82.4,0.0124348785032513,0.0160094307335438
"2020-07-27","47097",327,0,0,0,0.632905744562186,21.512788692286,82.4,0.0160094307335438,0.0193177929041336
"2020-08-03","47097",421,0,0,0,0.632905744562186,21.512788692286,77.9,0.0193177929041336,0.0214853405331407
"2020-08-10","47097",508,0,0,0,0.632905744562186,21.512788692286,77.9,0.0214853405331407,0.0240331596760087
"2020-08-17","47097",565,0,0,0,0.632905744562186,21.512788692286,77.9,0.0240331596760087,0.0273795489979846
"2020-08-24","47097",632,0,0,0,0.632905744562186,21.512788692286,77.9,0.0273795489979846,0.031372399893524
"2020-08-31","47097",720,0,0,0,0.632905744562186,21.512788692286,77.9,0.031372399893524,0.0329695402517397
"2020-09-07","47097",825,0,0,0,0.632905744562186,21.512788692286,72.1,0.0329695402517397,0.035631440848766
"2020-09-14","47097",867,0,0,0,0.632905744562186,21.512788692286,72.1,0.035631440848766,0.0377989884777731
"2020-09-21","47097",937,0,0,0,0.632905744562186,21.512788692286,72.1,0.0377989884777731,0.0397764003498498
"2020-09-28","47097",994,0,0,0,0.632905744562186,21.512788692286,72.1,0.0397764003498498,0.044111495607864
"2020-10-05","47097",1046,0,0,0,0.632905744562186,21.512788692286,59.8,0.044111495607864,0.0491310795908279
"2020-10-12","47097",1160,0,0,0,0.632905744562186,21.512788692286,59.8,0.0491310795908279,0.0546069893904248
"2020-10-19","47097",1292,0,0,0,0.632905744562186,21.512788692286,59.8,0.0546069893904248,0.0576111343499258
"2020-10-26","47097",1436,0,0,0,0.632905744562186,21.512788692286,59.8,0.0576111343499258,0.0607673879149713
"2020-11-02","47097",1515,0,0,0,0.632905744562186,21.512788692286,54,0.0607673879149713,0.0701981214587215
"2020-11-09","47097",1598,0,0,0,0.632905744562186,21.512788692286,54,0.0701981214587215,0.0755599498041602
"2020-11-16","47097",1846,0,0,0,0.632905744562186,21.512788692286,54,0.0755599498041602,0.0782598775525725
"2020-11-23","47097",1987,0,0,0,0.632905744562186,21.512788692286,54,0.0782598775525725,0.0822147012967259
"2020-11-30","47097",2058,0,0,0,0.632905744562186,21.512788692286,54,0.0822147012967259,0.0879568011560254
"2020-12-07","47097",2162,0,0,0,0.632905744562186,21.512788692286,41.2,0.0879568011560254,0.0938129824694832
"2020-12-14","47097",2313,0,0,0,0.632905744562186,21.512788692286,41.2,0.0938129824694832,0.0973875346997756
"2020-12-21","47097",2467,0,0,0,0.632905744562186,21.512788692286,41.2,0.0973875346997756,0.102749363045214
"2020-12-28","47097",2561,0,0,0,0.632905744562186,21.512788692286,41.2,0.102749363045214,0.108339354298969
"2021-01-04","47097",2702,0,0,0,0.632905744562186,21.512788692286,41.3,0.108339354298969,0.111457580712629
