"week","county_fips","is_metro","dose1_pct","fully_vacc_pct","conservative_pct","pop_density","temp","cases_pcap"
"2020-12-07","40101",0,0,0,0.671623938439456,32.9148200904206,40.1,0.00803369810665277
"2020-12-14","40101",0,0,0,0.671623938439456,32.9148200904206,40.1,0.00796132244803428
"2020-12-21","40101",0,0,0,0.671623938439456,32.9148200904206,40.1,0.00623878177291413
"2020-12-28","40101",0,0,0,0.671623938439456,32.9148200904206,40.1,0.00745469283770482
"2021-01-04","40101",0,3.5,0.3,0.671623938439456,32.9148200904206,40.8,0.00813502402871866
"2021-01-11","40101",0,6.7,0.6,0.671623938439456,32.9148200904206,40.8,0.00689016270048057
"2021-01-18","40101",0,8.2,1.2,0.671623938439456,32.9148200904206,40.8,0.00434253951710961
"2021-01-25","40101",0,9.8,2.3,0.671623938439456,32.9148200904206,40.8,0.0043859649122807
"2021-02-01","40101",0,11.8,5.3,0.671623938439456,32.9148200904206,37.8,0.00505182097157084
"2021-02-08","40101",0,12.8,6.5,0.671623938439456,32.9148200904206,37.8,0.00234497133923919
"2021-02-15","40101",0,13.7,8.4,0.671623938439456,32.9148200904206,37.8,0.00123038619651439
"2021-02-22","40101",0,16.5,10.6,0.671623938439456,32.9148200904206,37.8,0.000738231717908633
"2021-03-01","40101",0,19.7,12.1,0.671623938439456,32.9148200904206,54.5,0.000694806322737537
"2021-03-08","40101",0,23,13.1,0.671623938439456,32.9148200904206,54.5,0.000579005268947947
"2021-03-15","40101",0,25.9,14.5,0.671623938439456,32.9148200904206,54.5,4.34253951710961e-05
"2021-03-22","40101",0,28.3,16.6,0.671623938439456,32.9148200904206,54.5,0.000477679346882057
"2021-03-29","40101",0,30.8,19.4,0.671623938439456,32.9148200904206,54.5,0.000347403161368768
"2021-04-05","40101",0,32.2,22.2,0.671623938439456,32.9148200904206,57.4,0.000231602107579179
"2021-04-12","40101",0,33.5,24.4,0.671623938439456,32.9148200904206,57.4,0.000390828556539865
"2021-04-19","40101",0,34.1,26.3,0.671623938439456,32.9148200904206,57.4,0.000173701580684384
"2021-04-26","40101",0,34.6,27.3,0.671623938439456,32.9148200904206,57.4,0.000188176712408083
"2021-05-03","40101",0,35,28.1,0.671623938439456,32.9148200904206,64,0.000144751317236987
"2021-05-10","40101",0,35.5,28.8,0.671623938439456,32.9148200904206,64,0.000173701580684384
"2021-05-17","40101",0,35.9,29.2,0.671623938439456,32.9148200904206,64,5.79005268947947e-05
"2021-05-24","40101",0,36.2,29.6,0.671623938439456,32.9148200904206,64,0.000231602107579179
"2021-05-31","40101",0,36.6,30,0.671623938439456,32.9148200904206,64,0.000231602107579179
"2021-06-07","40101",0,36.9,30.3,0.671623938439456,32.9148200904206,73.5,0.000101325922065891
"2021-06-14","40101",0,38.9,31.8,0.671623938439456,32.9148200904206,73.5,0.000144751317236987
"2021-06-21","40101",0,39.8,32.6,0.671623938439456,32.9148200904206,73.5,0.000347403161368768
"2021-06-28","40101",0,40.4,33.1,0.671623938439456,32.9148200904206,73.5,0.000419778819987262
"2021-07-05","40101",0,40.8,33.4,0.671623938439456,32.9148200904206,77.5,0.000275027502750275
"2021-07-12","40101",0,41.3,33.8,0.671623938439456,32.9148200904206,77.5,0.000651380927566441
"2021-07-19","40101",0,42.1,34.1,0.671623938439456,32.9148200904206,77.5,0.00167911527994905
"2021-07-26","40101",0,43.4,34.5,0.671623938439456,32.9148200904206,77.5,0.00377800937988536
"2021-08-02","40101",0,44.9,34.9,0.671623938439456,32.9148200904206,77.2,0.00419778819987262
"2021-08-09","40101",0,46.6,35.7,0.671623938439456,32.9148200904206,77.2,0.00418331306814892
"2021-08-16","40101",0,47.8,36.7,0.671623938439456,32.9148200904206,77.2,0.00506629610329454
"2021-08-23","40101",0,48.9,37.7,0.671623938439456,32.9148200904206,77.2,0.00424121359504371
"2021-08-30","40101",0,50.2,39.2,0.671623938439456,32.9148200904206,77.2,0.0055439754501766
"2021-09-06","40101",0,51.3,40.1,0.671623938439456,32.9148200904206,70.7,0.00492154478605755
"2021-09-13","40101",0,52.3,41.3,0.671623938439456,32.9148200904206,70.7,0.00526894794742632
"2021-09-20","40101",0,53,42.2,0.671623938439456,32.9148200904206,70.7,0.0054571246598344
"2021-09-27","40101",0,53.6,43,0.671623938439456,32.9148200904206,70.7,0.00345955648196399
"2021-10-04","40101",0,54.4,43.7,0.671623938439456,32.9148200904206,64.1,0.00267789936888426
"2021-10-11","40101",0,54.9,44.1,0.671623938439456,32.9148200904206,64.1,0.00276475015922645
"2021-10-18","40101",0,55.5,44.6,0.671623938439456,32.9148200904206,64.1,0.00231602107579179
"2021-10-25","40101",0,56.1,45.1,0.671623938439456,32.9148200904206,64.1,0.00150541369926466
"2021-11-01","40101",0,56.8,45.5,0.671623938439456,32.9148200904206,46,0.00127381159168548
"2021-11-08","40101",0,57.5,45.9,0.671623938439456,32.9148200904206,46,0.00088298303514562
"2021-11-15","40101",0,58.2,46.3,0.671623938439456,32.9148200904206,46,0.00125933645996179
"2021-11-22","40101",0,58.5,46.4,0.671623938439456,32.9148200904206,46,0.00160673962133055
"2021-11-29","40101",0,59.7,47,0.671623938439456,32.9148200904206,46,0.000940883562040415
"2021-12-06","40101",0,60.4,47.4,0.671623938439456,32.9148200904206,51.8,0.00170806554339644
"2021-12-13","40101",0,61,47.9,0.671623938439456,32.9148200904206,51.8,0.00127381159168548
"2021-12-20","40101",0,61.3,48.1,0.671623938439456,32.9148200904206,51.8,0.00128828672340918
