"week","county_fips","is_metro","dose1_pct","fully_vacc_pct","conservative_pct","pop_density","temp","cases_pcap"
"2020-12-07","21039",0,0,0,0.824109173616376,9.86655893794688,24.2,0.0061970667217517
"2020-12-14","21039",0,0,0,0.824109173616376,9.86655893794688,24.2,0.00495765337740136
"2020-12-21","21039",0,0,0,0.824109173616376,9.86655893794688,24.2,0.00743648006610205
"2020-12-28","21039",0,0,0,0.824109173616376,9.86655893794688,24.2,0.0061970667217517
"2021-01-04","21039",0,0,0,0.824109173616376,9.86655893794688,20.1,0.00516422226812642
"2021-01-11","21039",0,0,0,0.824109173616376,9.86655893794688,20.1,0.00371824003305102
"2021-01-18","21039",0,0,0,0.824109173616376,9.86655893794688,20.1,0.0028919644701508
"2021-01-25","21039",0,0,0,0.824109173616376,9.86655893794688,20.1,0.00061970667217517
"2021-02-01","21039",0,6.2,1.9,0.824109173616376,9.86655893794688,8.6,0.00247882668870068
"2021-02-08","21039",0,7.6,3,0.824109173616376,9.86655893794688,8.6,0.000826275562900227
"2021-02-15","21039",0,7.8,3.7,0.824109173616376,9.86655893794688,8.6,0.00123941334435034
"2021-02-22","21039",0,10.5,5.3,0.824109173616376,9.86655893794688,8.6,0.000826275562900227
"2021-03-01","21039",0,13.1,5.9,0.824109173616376,9.86655893794688,37.9,0.00165255112580045
"2021-03-08","21039",0,15.1,8.3,0.824109173616376,9.86655893794688,37.9,0.00103284445362528
"2021-03-15","21039",0,17.4,9.3,0.824109173616376,9.86655893794688,37.9,0.00185912001652551
"2021-03-22","21039",0,18.8,11.9,0.824109173616376,9.86655893794688,37.9,0
"2021-03-29","21039",0,20.2,14.1,0.824109173616376,9.86655893794688,37.9,0.00061970667217517
"2021-04-05","21039",0,22.4,15.2,0.824109173616376,9.86655893794688,45.1,0.00103284445362528
"2021-04-12","21039",0,24.1,18,0.824109173616376,9.86655893794688,45.1,0.000826275562900227
"2021-04-19","21039",0,24.8,19.2,0.824109173616376,9.86655893794688,45.1,0.000206568890725057
"2021-04-26","21039",0,25.2,20.5,0.824109173616376,9.86655893794688,45.1,0.00103284445362528
"2021-05-03","21039",0,26,22.4,0.824109173616376,9.86655893794688,56.8,0.00061970667217517
"2021-05-10","21039",0,26.6,23.3,0.824109173616376,9.86655893794688,56.8,0.00061970667217517
"2021-05-17","21039",0,27.2,24,0.824109173616376,9.86655893794688,56.8,0.000826275562900227
"2021-05-24","21039",0,27.8,24.5,0.824109173616376,9.86655893794688,56.8,0.000413137781450114
"2021-05-31","21039",0,28.2,25.1,0.824109173616376,9.86655893794688,56.8,0.000206568890725057
"2021-06-07","21039",0,28.5,25.9,0.824109173616376,9.86655893794688,72.2,0
"2021-06-14","21039",0,29,26.4,0.824109173616376,9.86655893794688,72.2,0
"2021-06-21","21039",0,29.2,26.7,0.824109173616376,9.86655893794688,72.2,0.000206568890725057
"2021-06-28","21039",0,29.7,27.2,0.824109173616376,9.86655893794688,72.2,0.000206568890725057
"2021-07-05","21039",0,29.9,27.2,0.824109173616376,9.86655893794688,71,0.000413137781450114
"2021-07-12","21039",0,30.1,27.6,0.824109173616376,9.86655893794688,71,0.00103284445362528
"2021-07-19","21039",0,30.4,27.8,0.824109173616376,9.86655893794688,71,0.000413137781450114
"2021-07-26","21039",0,31.3,28.1,0.824109173616376,9.86655893794688,71,0
"2021-08-02","21039",0,33.5,28.8,0.824109173616376,9.86655893794688,69.1,0.00247882668870068
"2021-08-09","21039",0,34.7,29.2,0.824109173616376,9.86655893794688,69.1,0.00454451559595125
"2021-08-16","21039",0,36,29.6,0.824109173616376,9.86655893794688,69.1,0.00227225779797562
"2021-08-23","21039",0,36.7,30.4,0.824109173616376,9.86655893794688,69.1,0.00227225779797562
"2021-08-30","21039",0,37.8,31.8,0.824109173616376,9.86655893794688,69.1,0.00206568890725057
"2021-09-06","21039",0,38.8,33.2,0.824109173616376,9.86655893794688,62.4,0.00247882668870068
"2021-09-13","21039",0,39.1,33.8,0.824109173616376,9.86655893794688,62.4,0.00309853336087585
"2021-09-20","21039",0,39.6,34.9,0.824109173616376,9.86655893794688,62.4,0.00123941334435034
"2021-09-27","21039",0,40,35.7,0.824109173616376,9.86655893794688,62.4,0.00061970667217517
"2021-10-04","21039",0,40.2,36.2,0.824109173616376,9.86655893794688,52.8,0.00103284445362528
"2021-10-11","21039",0,40.4,36.8,0.824109173616376,9.86655893794688,52.8,0.00351167114232597
"2021-10-18","21039",0,40.8,37.1,0.824109173616376,9.86655893794688,52.8,0.00165255112580045
"2021-10-25","21039",0,40.9,37.4,0.824109173616376,9.86655893794688,52.8,0.00247882668870068
"2021-11-01","21039",0,41,37.6,0.824109173616376,9.86655893794688,35.1,0.00185912001652551
"2021-11-08","21039",0,41.3,37.8,0.824109173616376,9.86655893794688,35.1,0.00206568890725057
"2021-11-15","21039",0,41.6,38.2,0.824109173616376,9.86655893794688,35.1,0.00227225779797562
"2021-11-22","21039",0,41.6,38.3,0.824109173616376,9.86655893794688,35.1,0.000826275562900227
"2021-11-29","21039",0,42.1,38.6,0.824109173616376,9.86655893794688,35.1,0.00371824003305102
"2021-12-06","21039",0,42.4,38.8,0.824109173616376,9.86655893794688,24.6,0.00309853336087585
"2021-12-13","21039",0,42.6,38.9,0.824109173616376,9.86655893794688,24.6,0.0028919644701508
"2021-12-20","21039",0,42.7,39.1,0.824109173616376,9.86655893794688,24.6,0.00185912001652551
"2021-12-27","21039",0,42.9,39.2,0.824109173616376,9.86655893794688,24.6,0.00433794670522619
"2022-01-03","21039",0,43.1,39.3,0.824109173616376,9.86655893794688,8.3,0.00516422226812642
"2022-01-10","21039",0,43.4,39.5,0.824109173616376,9.86655893794688,8.3,0.00599049783102665
"2022-01-17","21039",0,43.7,39.6,0.824109173616376,9.86655893794688,8.3,0.00888246230117744
"2022-01-24","21039",0,43.8,39.8,0.824109173616376,9.86655893794688,8.3,0.0123941334435034
"2022-01-31","21039",0,43.9,39.9,0.824109173616376,9.86655893794688,8.3,0.00413137781450114
"2022-02-07","21039",0,44.1,40.1,0.824109173616376,9.86655893794688,13.5,0.00185912001652551
"2022-02-14","21039",0,44.4,40.3,0.824109173616376,9.86655893794688,13.5,0.0028919644701508
"2022-02-21","21039",0,44.5,40.4,0.824109173616376,9.86655893794688,13.5,0.00247882668870068
"2022-02-28","21039",0,44.5,40.5,0.824109173616376,9.86655893794688,13.5,0.00165255112580045
